2016-01-31 22:03:42.928 [] INFO  FixedLayoutBook.NcxDocument  - Saving NCX
2016-01-31 22:03:42.929 [] INFO  FixedLayoutBook.OPFDocument  - Saving OPF
2016-01-31 22:03:42.930 [] ERROR FixedLayoutBook.OPFDocument  - Failed to open OPF for saving
2016-01-31 22:03:42.931 [] INFO  FixedLayoutBook.BookMetadata  - Scaling the image
2016-01-31 22:03:43.008 [] INFO  FixedLayoutBook.BookMetadata  - Scaling not done for /Users/garylai/Documents/untitled folder/cover-image.jpg, since the image meets the guidelines.
2016-01-31 22:03:43.049 [] INFO  TabManager  - Page is null
2016-01-31 22:03:43.594 [] INFO  KEQWebPage  - JS Console:915: line:46 srcId:qrc:/html/html/manga-template.html
2016-01-31 22:03:43.595 [] INFO  KEQWebPage  - JS Console:915: line:46 srcId:qrc:/html/html/manga-template.html
2016-01-31 22:03:43.595 [] INFO  KEQWebPage  - JS Console:LOG: In Template Loaded Function: line:1573 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:03:43.696 [] INFO  BookManagerDock  - Adding page(s) to comic...
2016-01-31 22:03:50.524 [] INFO  FixedLayoutBook.ComicBook.MangaPage  - Parsing Manga Page content to update the model
2016-01-31 22:03:50.525 [] ERROR FixedLayoutBook.ComicBook.MangaPage  - Error loading the image for size detection
2016-01-31 22:03:50.525 [Thread (pooled)] INFO  FixedLayoutBook.Page  - Scaling the image
2016-01-31 22:03:50.719 [Thread (pooled)] INFO  FixedLayoutBook.Page  - Scaling not done for /Users/garylai/Documents/untitled folder/html/scaled-images/716e409e-4207-4f6e-8ea6-8c096cd5708b.jpg, since the image meets the guidelines.
2016-01-31 22:03:50.743 [] INFO  FixedLayoutBook.ComicBook.MangaPage  - Parsing Manga Page content to update the model
2016-01-31 22:03:50.744 [] ERROR FixedLayoutBook.ComicBook.MangaPage  - Error loading the image for size detection
2016-01-31 22:03:50.744 [Thread (pooled)] INFO  FixedLayoutBook.Page  - Scaling the image
2016-01-31 22:03:50.797 [] INFO  FixedLayoutBook.ComicBook.MangaPage  - Parsing Manga Page content to update the model
2016-01-31 22:03:50.798 [] ERROR FixedLayoutBook.ComicBook.MangaPage  - Error loading the image for size detection
2016-01-31 22:03:50.798 [Thread (pooled)] INFO  FixedLayoutBook.Page  - Scaling the image
2016-01-31 22:03:50.858 [Thread (pooled)] INFO  FixedLayoutBook.Page  - Scaling not done for /Users/garylai/Documents/untitled folder/html/scaled-images/8bbb9e0a-9dff-4332-bce4-2148ed3716be.jpg, since the image meets the guidelines.
2016-01-31 22:03:50.910 [] INFO  KEQWebPage  - JS Console:1184: line:46 srcId:file:///Users/garylai/Documents/untitled%20folder/html/Page-0.html
2016-01-31 22:03:50.910 [] INFO  KEQWebPage  - JS Console:915: line:46 srcId:file:///Users/garylai/Documents/untitled%20folder/html/Page-0.html
2016-01-31 22:03:50.910 [] INFO  KEQWebPage  - JS Console:LOG: In Template Loaded Function: line:1573 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:03:50.911 [] INFO  FixedLayoutBook.ComicBook.MangaPage  - Get edited HTML for comic page
2016-01-31 22:03:50.911 [] INFO  FixedLayoutBook.ComicBook.MangaPage  - Creating head tag for comic page
2016-01-31 22:03:50.911 [] INFO  FixedLayoutBook.ComicBook.MangaPage  - Creating body tag for comic page
2016-01-31 22:03:50.912 [] INFO  FixedLayoutBook.ComicBook.MangaPage  - Parsing Manga Page content to update the model
2016-01-31 22:03:50.913 [] INFO  FixedLayoutBook.ComicBook.MangaPage  - Parsing comic page for image path
2016-01-31 22:03:50.913 [] INFO  FixedLayoutBook.ComicBook.MangaPage  - Found relative image path in comic page
2016-01-31 22:03:50.914 [] INFO  FixedLayoutBook.ComicBook.MangaPage  - Page generated by Kindle Comic Creator
2016-01-31 22:03:50.925 [Thread (pooled)] INFO  FixedLayoutBook.Page  - Scaling not done for /Users/garylai/Documents/untitled folder/html/scaled-images/8fb33f05-7a8d-41c5-97bc-f719823dd8d9.jpg, since the image meets the guidelines.
2016-01-31 22:03:50.981 [] INFO  KEQWebPage  - JS Console:In Get available frame : Page value s- -1: line:324 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:03:51.064 [] INFO  KEQWebPage  - JS Console:frame loaded: frameLab126-1: line:72 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:03:51.065 [] INFO  KEQWebPage  - JS Console:dow: null: line:786 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:03:51.065 [] INFO  KEQWebPage  - JS Console:fit zoom is 0.6064: line:786 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:03:51.066 [] INFO  KEQWebPage  - JS Console:Called alignContent with |1250|1014|758|1024|center: line:385 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:03:51.066 [] INFO  KEQWebPage  - JS Console:top is 337pxleft is 0px: line:385 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:03:51.066 [] INFO  FixedLayoutBook.ComicBook.MangaPage  - Get edited HTML for comic page
2016-01-31 22:03:51.068 [] INFO  KEQWebPage  - JS Console:PAGE ALREADY LOADED: line:239 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:03:51.069 [] INFO  KEQWebPage  - JS Console:dow: 1250: line:786 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:03:51.069 [] INFO  KEQWebPage  - JS Console:fit zoom is 0.6064: line:786 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:03:51.069 [] INFO  KEQWebPage  - JS Console:Called alignContent with |1250|1014|758|1024|center: line:385 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:03:51.069 [] INFO  KEQWebPage  - JS Console:top is 337pxleft is 0px: line:385 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:03:57.642 [] INFO  BookController  - Loaded the comic
2016-01-31 22:04:02.696 [] INFO  FixedLayoutBook.ComicBook.MangaPage  - Get edited HTML for comic page
2016-01-31 22:04:02.698 [] INFO  KEQWebPage  - JS Console:ReferenceError: Can't find variable: setWritingMode: line:0 srcId:undefined
2016-01-31 22:04:02.698 [] INFO  KEQWebPage  - JS Console:ReferenceError: Can't find variable: getPagePathDetails: line:0 srcId:undefined
2016-01-31 22:04:02.698 [] INFO  KEQWebPage  - JS Console:ReferenceError: Can't find variable: loadPage: line:0 srcId:undefined
2016-01-31 22:04:02.698 [] INFO  KEQWebPage  - JS Console:TypeError: 'undefined' is not an object: line:0 srcId:undefined
2016-01-31 22:04:02.698 [] INFO  KEQWebPage  - JS Console:ReferenceError: Can't find variable: disableImageDragging: line:0 srcId:undefined
2016-01-31 22:04:02.714 [] INFO  KEQWebPage  - JS Console:1184: line:46 srcId:file:///Users/garylai/Documents/untitled%20folder/html/Page-1.html
2016-01-31 22:04:02.714 [] INFO  KEQWebPage  - JS Console:915: line:46 srcId:file:///Users/garylai/Documents/untitled%20folder/html/Page-1.html
2016-01-31 22:04:02.737 [] INFO  KEQWebPage  - JS Console:LOG: In Template Loaded Function: line:1573 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:02.738 [] INFO  FixedLayoutBook.ComicBook.MangaPage  - Get edited HTML for comic page
2016-01-31 22:04:02.738 [] INFO  FixedLayoutBook.ComicBook.MangaPage  - Creating head tag for comic page
2016-01-31 22:04:02.738 [] INFO  FixedLayoutBook.ComicBook.MangaPage  - Creating body tag for comic page
2016-01-31 22:04:02.739 [] INFO  FixedLayoutBook.ComicBook.MangaPage  - Parsing Manga Page content to update the model
